"Id","Token","WeekStart","WeekEnd","Tipo","Prioridad","Titulo","Descripcion","ImpactoEsperado","MejoraEstimada","Detalles","EmpleadosInvolucrados","WorkstationsAfectadas","DiasAfectados","AccionesConcretas","Implementada","FechaImplementacion","CreatedAt","IsPostAi"
"9d544945-9b7c-4f6f-a202-2b90b3e44536","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,REDISTRIBUIR_CARGA,CRITICA,Empleados sin asignación,Hay 16 empleados que no recibieron ningún turno esta semana.,"[""EQUIDAD"", ""COSTO""]",20.00,"{""sin_asignacion"": [""OLGA PATRICIA NOREÑA VALENCIA"", ""FEDERICO SIGWALD DALESSANDRO"", ""RICHARD RICHARD"", ""EXTRA COCINA 2 XXX"", ""ANTONELA CALORE"", ""OSWALDO MOLINA PLAZA"", ""MARILYN BARBERIS LAZO"", ""ANA CAROLINA FLORES GARCIA"", ""IDOIA LERTXUNDI ETXEBERRIA"", ""NASSIKA ZAOUI BABAS"", ""YESSY MARIA PEREZ MENDOZA"", ""EXTRA COCINA"", ""SAINE ALHAGI"", ""EDUARD VILLAMAYOR NOGUE"", ""CHRISTIAN JOSE GARCIA GASCON"", ""AINHOA SANTESTEBAN MARTINEZ""]}","[""OLGA PATRICIA NOREÑA VALENCIA"", ""FEDERICO SIGWALD DALESSANDRO"", ""RICHARD RICHARD"", ""EXTRA COCINA 2 XXX"", ""ANTONELA CALORE""]","[]","[]","[""Verificar si estos empleados están activos y disponibles"", ""Revisar sus roles y capacitaciones"", ""Asignar turnos en gaps detectados""]",false,,2026-03-15 16:54:19.619,true
fa5a7542-c54e-47d2-b859-ffdc957e21b6,"2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en JEFE COCINA,Se detectaron 7 gaps en JEFE COCINA esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",21.00,"{""gaps_detectados"": 7}","[]","[""JEFE COCINA""]","[]","[""Publicar vacante para JEFE COCINA (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en JEFE COCINA"", ""Revisar si la demanda de JEFE COCINA está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"12dff8d4-67db-4cac-917c-c7cfb17e400d","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en JEFE COMEDOR,Se detectaron 12 gaps en JEFE COMEDOR esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 12}","[]","[""JEFE COMEDOR""]","[]","[""Publicar vacante para JEFE COMEDOR (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en JEFE COMEDOR"", ""Revisar si la demanda de JEFE COMEDOR está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
e11e56da-24f1-4ae2-9cd1-474c89d48767,"2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en CIERRE COCINA,Se detectaron 7 gaps en CIERRE COCINA esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",21.00,"{""gaps_detectados"": 7}","[]","[""CIERRE COCINA""]","[]","[""Publicar vacante para CIERRE COCINA (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en CIERRE COCINA"", ""Revisar si la demanda de CIERRE COCINA está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"6add640a-eaf8-45b4-ba6a-75c04e41e665","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en CAMARERO BARRA,Se detectaron 20 gaps en CAMARERO BARRA esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 20}","[]","[""CAMARERO BARRA""]","[]","[""Publicar vacante para CAMARERO BARRA (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en CAMARERO BARRA"", ""Revisar si la demanda de CAMARERO BARRA está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"0bd3ce61-2407-468b-8ca1-fe657319051c","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en CAMARERO COMEDOR,Se detectaron 17 gaps en CAMARERO COMEDOR esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 17}","[]","[""CAMARERO COMEDOR""]","[]","[""Publicar vacante para CAMARERO COMEDOR (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en CAMARERO COMEDOR"", ""Revisar si la demanda de CAMARERO COMEDOR está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"191f7a4e-5d4b-4f71-b1de-db18fcebf7bd","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en PARRILLERO,Se detectaron 8 gaps en PARRILLERO esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",24.00,"{""gaps_detectados"": 8}","[]","[""PARRILLERO""]","[]","[""Publicar vacante para PARRILLERO (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en PARRILLERO"", ""Revisar si la demanda de PARRILLERO está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"8a902777-c2c1-4434-b84e-6ca8b1ed8360","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en PINTXOS CALIENTES,Se detectaron 249 gaps en PINTXOS CALIENTES esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 249}","[]","[""PINTXOS CALIENTES""]","[]","[""Publicar vacante para PINTXOS CALIENTES (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en PINTXOS CALIENTES"", ""Revisar si la demanda de PINTXOS CALIENTES está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"1f16fd8e-c0ff-43d4-9026-c57a309200d5","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en COCINERO,Se detectaron 238 gaps en COCINERO esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 238}","[]","[""COCINERO""]","[]","[""Publicar vacante para COCINERO (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en COCINERO"", ""Revisar si la demanda de COCINERO está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
"0b19099b-63c9-4efb-b2ea-99e6a07e8fd8","2026-12-07|ai|61804f5a",2026-12-07,2026-12-13,CONTRATAR_PERSONAL,ALTA,Reforzar cobertura en FREGADERA,Se detectaron 183 gaps en FREGADERA esta semana. Considerar contratar personal adicional o capacitar empleados existentes.,"[""COBERTURA""]",30.00,"{""gaps_detectados"": 183}","[]","[""FREGADERA""]","[]","[""Publicar vacante para FREGADERA (tiempo parcial o completo)"", ""Identificar empleados que puedan capacitarse en FREGADERA"", ""Revisar si la demanda de FREGADERA está sobreestimada""]",false,,2026-03-15 16:54:19.619,true
